State,"Estate & Organized Smallholders","Independent Smallholders",Total
Johor,"529,511","147,342","676,853"
Kedah,"62,374","24,112","86,487"
Kelantan,"154,753","7,100","161,852"
Melaka,"42,564","9,783","52,347"
Negeri Sembilan,"157,516","21,044","178,560"
Pahang,"709,270","40,543","749,813"
Perak,"272,299","79,799","352,098"
Perlis,727,159,886
Pulau Pinang,"3,285","5,294","8,579"
Selangor,"86,775","19,233","106,008"
Terengganu,"159,736","11,089","170,825"
Sabah,"1,307,095","200,965","1,508,060"
Sarawak,"1,372,729","249,645","1,622,374"
