State,2018,2019,2020,2021,2022
Johor,"3,113,455","3,142,218","3,157,647","2,851,495","2,969,525"
Kedah,"265,770","239,073","218,106","236,668","237,382"
Kelantan,"294,884","332,438","338,021","314,406","336,061"
Negeri Sembilan,"679,451","698,440","651,310","631,112","675,767"
Pahang,"2,754,382","3,019,773","2,998,600","2,795,769","3,013,127"
Perak,"1,861,067","1,854,050","1,840,646","1,902,382","1,866,423"
Selangor,"519,504","521,837","509,535","522,372","498,904"
Terengganu,"486,416","556,230","541,371","429,665","407,500"
Other States,"222,517","219,729","183,663","163,128","156,661"
Peninsular,"10,197,446","10,583,788","10,438,899","9,846,997","10,161,330"
Sabah,"5,139,356","5,037,168","4,647,375","4,361,537","4,286,665"
Sarawak,"4,179,339","4,237,411","4,054,339","3,907,820","4,005,425"
